datetime,Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2014-05-28 23:55:00,2014-05-28,23:55,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,69.036kWh,"1,047W",
2014-05-28 23:50:00,2014-05-28,23:50,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,68.949kWh,"1,047W",
2014-05-28 23:45:00,2014-05-28,23:45,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,68.862kWh,"1,323W",
2014-05-28 23:40:00,2014-05-28,23:40,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,68.751kWh,"3,171W",
2014-05-28 23:35:00,2014-05-28,23:35,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,68.487kWh,"3,163W",
2014-05-28 23:30:00,2014-05-28,23:30,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,68.223kWh,"3,022W",
2014-05-28 23:25:00,2014-05-28,23:25,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,67.972kWh,"1,047W",
2014-05-28 23:20:00,2014-05-28,23:20,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,67.884kWh,"3,312W",
2014-05-28 23:15:00,2014-05-28,23:15,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,67.608kWh,"4,866W",
2014-05-28 23:10:00,2014-05-28,23:10,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,67.203kWh,"4,998W",
2014-05-28 23:05:00,2014-05-28,23:05,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,-,-,66.786kWh,"4,998W",
2014-05-28 23:00:00,2014-05-28,23:00,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.3C,-,66.370kWh,"5,004W",
2014-05-28 22:55:00,2014-05-28,22:55,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.2C,-,65.953kWh,"5,106W",
2014-05-28 22:50:00,2014-05-28,22:50,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.2C,-,65.527kWh,"5,090W",
2014-05-28 22:45:00,2014-05-28,22:45,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.2C,-,65.103kWh,"5,137W",
2014-05-28 22:40:00,2014-05-28,22:40,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.6C,-,64.675kWh,"5,143W",
2014-05-28 22:35:00,2014-05-28,22:35,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.3C,-,64.247kWh,"7,526W",
2014-05-28 22:30:00,2014-05-28,22:30,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.4C,-,63.619kWh,"7,545W",
2014-05-28 22:25:00,2014-05-28,22:25,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.4C,-,62.991kWh,"7,556W",
2014-05-28 22:20:00,2014-05-28,22:20,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,19.7C,-,62.361kWh,"7,429W",
2014-05-28 22:15:00,2014-05-28,22:15,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,20.1C,-,61.742kWh,"7,149W",
2014-05-28 22:10:00,2014-05-28,22:10,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,20.1C,-,61.146kWh,"5,039W",
2014-05-28 22:05:00,2014-05-28,22:05,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,20.2C,-,60.726kWh,"5,139W",
2014-05-28 22:00:00,2014-05-28,22:00,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.2C,-,60.298kWh,"5,280W",
2014-05-28 21:55:00,2014-05-28,21:55,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.8C,-,59.858kWh,"7,565W",
2014-05-28 21:50:00,2014-05-28,21:50,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.8C,-,59.228kWh,"4,792W",
2014-05-28 21:45:00,2014-05-28,21:45,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.7C,-,58.828kWh,"3,621W",
2014-05-28 21:40:00,2014-05-28,21:40,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.6C,-,58.526kWh,"2,838W",
2014-05-28 21:35:00,2014-05-28,21:35,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.5C,-,58.290kWh,"4,889W",
2014-05-28 21:30:00,2014-05-28,21:30,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.6C,-,57.883kWh,"1,431W",
2014-05-28 21:25:00,2014-05-28,21:25,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.6C,-,57.763kWh,"1,829W",
2014-05-28 21:20:00,2014-05-28,21:20,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,21.8C,-,57.611kWh,"1,961W",
2014-05-28 21:15:00,2014-05-28,21:15,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,22.2C,-,57.447kWh,"4,015W",
2014-05-28 21:10:00,2014-05-28,21:10,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,22.1C,-,57.113kWh,"3,694W",
2014-05-28 21:05:00,2014-05-28,21:05,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,22.1C,-,56.805kWh,"4,606W",
2014-05-28 21:00:00,2014-05-28,21:00,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,22.7C,-,56.421kWh,"3,605W",
2014-05-28 20:55:00,2014-05-28,20:55,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,23.3C,-,56.121kWh,"3,748W",
2014-05-28 20:50:00,2014-05-28,20:50,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,23.3C,-,55.808kWh,"2,174W",
2014-05-28 20:45:00,2014-05-28,20:45,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,24.0C,-,55.627kWh,"2,179W",
2014-05-28 20:40:00,2014-05-28,20:40,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,24.3C,-,55.446kWh,"3,391W",
2014-05-28 20:35:00,2014-05-28,20:35,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,24.6C,-,55.163kWh,"4,891W",
2014-05-28 20:30:00,2014-05-28,20:30,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,24.9C,-,54.756kWh,"5,264W",
2014-05-28 20:25:00,2014-05-28,20:25,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,24.5C,-,54.317kWh,"7,290W",
2014-05-28 20:20:00,2014-05-28,20:20,87.847kWh,6.191kWh/kW,0,0W,0.000kW/kW,25.0C,-,53.709kWh,"7,036W",
2014-05-28 20:15:00,2014-05-28,20:15,87.847kWh,6.191kWh/kW,15,12W,0.001kW/kW,25.1C,-,53.123kWh,"7,098W",
2014-05-28 20:10:00,2014-05-28,20:10,87.846kWh,6.191kWh/kW,59,60W,0.004kW/kW,25.6C,-,52.532kWh,"7,091W",
2014-05-28 20:05:00,2014-05-28,20:05,87.841kWh,6.190kWh/kW,97,96W,0.007kW/kW,25.9C,-,51.941kWh,"7,111W",
2014-05-28 20:00:00,2014-05-28,20:00,87.833kWh,6.190kWh/kW,128,132W,0.009kW/kW,27.2C,-,51.348kWh,"7,061W",
2014-05-28 19:55:00,2014-05-28,19:55,87.822kWh,6.189kWh/kW,166,168W,0.012kW/kW,27.5C,-,50.760kWh,"7,296W",
2014-05-28 19:50:00,2014-05-28,19:50,87.808kWh,6.188kWh/kW,193,192W,0.014kW/kW,27.5C,-,50.152kWh,"8,680W",
2014-05-28 19:45:00,2014-05-28,19:45,87.792kWh,6.187kWh/kW,218,216W,0.015kW/kW,27.5C,-,49.428kWh,"5,024W",
2014-05-28 19:40:00,2014-05-28,19:40,87.774kWh,6.186kWh/kW,243,240W,0.017kW/kW,27.5C,-,49.010kWh,"5,086W",
