DATE (MM/DD/YYYY),HOUR-HST,Avg Global Horizontal [W/m^2],Avg Global PAR [umol/s/m^2],Avg Air Temperature [deg C],Avg Dew Point Temp [deg C],Avg Rel Humidity [%],Avg Station Pressure [mBar],Avg CR1000 Temp [deg C],Avg CR1000 Battery [VDC]
7/1/2015,1,-1.5214,-0.6173,26.7090,22.5735,78.0075,1012.2700,26.7250,11.9300
7/1/2015,2,-0.9041,-0.5930,26.7210,22.4702,77.4735,1011.5845,26.8567,11.9300
7/1/2015,3,-1.0224,-0.5679,26.6100,22.3082,77.2130,1011.0637,26.9235,11.9300
7/1/2015,4,-0.7767,-0.4894,26.6250,22.2568,76.9027,1010.8700,26.9622,11.9300
7/1/2015,5,-0.9165,-0.6244,26.3370,21.9572,76.8125,1010.7870,26.9322,11.9300
7/1/2015,6,0.2120,2.4988,26.4953,22.3820,78.0902,1010.9993,26.8255,11.9300
7/1/2015,7,27.5711,63.8367,26.6230,22.4667,77.8993,1011.4388,26.8718,11.9300
7/1/2015,8,115.7355,273.7208,27.4083,22.5663,74.8495,1011.9617,27.9098,11.9300
7/1/2015,9,309.1170,661.2879,28.6077,22.7462,70.5973,1012.2143,30.3293,11.9300
7/1/2015,10,643.9824,1335.0955,30.8885,22.9040,62.5490,1011.9518,34.6658,11.9282
7/1/2015,11,865.2424,1774.2905,32.0013,22.3783,56.8700,1011.7095,38.5407,11.9228
7/1/2015,12,972.5313,1975.4382,32.7437,21.6077,52.0075,1011.4653,40.2055,11.9290
7/1/2015,13,976.6154,1978.4333,32.3267,22.0900,54.8238,1011.0498,40.4235,11.9285
7/1/2015,14,888.8557,1823.4090,32.6702,22.4033,54.8703,1010.5427,41.5467,11.9297
7/1/2015,15,826.7673,1709.2064,33.1617,22.3767,53.2765,1010.0185,44.0520,11.9300
7/1/2015,16,715.5454,1475.3664,32.6258,22.3372,54.7243,1009.6277,44.6860,11.9300
7/1/2015,17,496.1791,1025.6125,32.2170,21.9063,54.5447,1009.2673,44.1512,11.9300
7/1/2015,18,173.6399,383.4479,30.6338,21.8502,59.5147,1009.4055,40.0748,11.9265
7/1/2015,19,58.3489,129.1083,29.0037,22.1468,66.5273,1009.8782,34.1142,11.9267
7/1/2015,20,-1.5031,2.7002,27.7278,22.3148,72.3595,1010.4590,29.8670,11.9285
7/1/2015,21,-2.1430,-0.6861,27.2718,22.2183,73.8708,1010.7623,27.9497,11.9300
7/1/2015,22,-1.3457,-0.6003,27.2813,22.0573,73.1100,1011.2108,27.4645,11.9300
7/1/2015,23,-1.0236,-0.6655,27.3828,22.1833,73.2320,1011.5478,27.6382,11.9300
