DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP (vent/cor) [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Global CUV4 [W/m^2],Avg 500nm TWC Photometer [V],Avg 315nm POM-01 Photometer [nA],Avg 400nm POM-01 Photometer [uA],Avg 500nm POM-01 Photometer [uA],Avg 675nm POM-01 Photometer [uA],Avg 870nm POM-01 Photometer [uA],Avg 940nm POM-01 Photometer [uA],Avg 1020nm POM-01 Photometer [uA],Avg Global PSP Vent [mV],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Airmass,Avg Tower Dry Bulb Temp [deg C],Avg 315nm Obsolete AOD,Avg 400nm Obsolete AOD,Avg 500nm Obsolete AOD,Avg 675nm Obsolete AOD,Avg 870nm Obsolete AOD,Avg 940nm Obsolete AOD,Avg 1020nm Obsolete AOD,Avg 500nm TWC AOD
4/1/2014,1,0.6957,0.0000,-0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0421,135.1398,33.1247,-1.0000,1.4056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4/1/2014,2,0.9482,0.0000,-0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0381,131.3536,29.0048,-1.0000,0.8432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4/1/2014,3,2.0993,0.0000,-0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0406,124.3388,45.7827,-1.0000,0.2268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4/1/2014,4,1.8209,0.0000,-0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0421,115.1753,59.4500,-1.0000,-0.5244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4/1/2014,5,1.3090,0.0000,-0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0413,104.7174,70.8639,-1.0000,-0.8971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4/1/2014,6,4.8184,6.4627,0.2169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0225,93.4509,80.9625,12.9638,-1.0783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821
4/1/2014,7,107.4835,191.3896,4.6300,0.7632,0.2461,7.7546,68.8315,144.8448,129.4034,39.3673,98.9272,0.6201,81.9492,90.5743,7.9662,0.2576,0.0082,0.2114,0.1673,0.1487,0.1413,0.3162,0.1521,0.1588
4/1/2014,8,329.1842,455.0671,14.9763,2.2937,3.5578,28.7019,159.8878,261.2833,210.1253,96.3879,161.3572,2.1025,70.5490,100.4936,3.0636,2.4253,0.0706,0.1411,0.0714,0.0420,0.0260,0.2213,0.0358,0.0717
4/1/2014,9,533.6923,693.7833,26.4593,2.5652,10.6875,38.0253,176.9664,262.8574,201.9776,110.5811,155.3599,3.5106,59.4953,111.6395,1.9840,3.9897,0.0840,0.2323,0.1374,0.1004,0.0836,0.2916,0.0955,0.1290
4/1/2014,10,641.9032,890.2907,34.1557,2.4317,14.6988,37.6640,164.4969,236.4339,178.4269,104.3808,138.2701,4.2907,49.3691,125.2465,1.5399,6.2998,0.4658,0.7231,0.6140,0.5794,0.5738,0.7979,0.5928,0.5115
4/1/2014,11,584.8415,1031.0715,32.1777,1.0321,7.1146,14.1405,59.1060,82.7460,61.3004,36.5213,46.9115,3.9644,41.0803,142.8968,1.3274,6.9124,2.5728,3.4458,3.3654,3.3663,3.3726,3.6667,3.4102,2.5370
4/1/2014,12,384.2981,1106.5075,23.8673,0.1745,1.4725,2.3894,9.4441,12.4896,8.8404,5.2045,6.5175,2.6050,36.0457,165.5705,1.2361,7.5140,5.0571,7.2258,7.2198,7.2491,7.1893,7.6196,7.2431,5.3330
4/1/2014,13,472.3512,1111.4639,27.1967,0.4573,4.3134,7.3621,28.8661,38.0071,26.7374,16.2032,19.9173,3.2134,35.6931,191.0974,1.2305,8.8334,4.2592,5.7259,5.6986,5.7448,5.7500,6.1425,5.8395,4.4514
4/1/2014,14,584.8275,1045.6252,32.8013,0.5284,4.0458,6.8238,26.9276,35.2896,24.3660,14.9849,18.2754,3.9514,40.1444,214.4001,1.3087,12.0218,2.5147,3.5494,3.5085,3.5496,3.5981,3.8291,3.6336,2.4775
4/1/2014,15,361.9902,913.5151,20.7887,0.0904,0.6033,0.9032,3.4612,4.2611,2.7306,1.5907,1.9581,2.4065,48.0711,232.7347,1.5001,12.1367,3.2264,4.4913,4.4909,4.5403,4.5904,4.8399,4.6287,3.4042
4/1/2014,16,246.9008,724.1998,13.9952,0.0070,0.0412,0.0439,0.1617,0.1834,0.1065,0.0529,0.0697,1.5986,57.9992,246.8130,1.8988,11.6098,3.1895,4.1952,4.2177,4.3298,4.4426,4.6964,4.5205,3.5161
