DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP (vent/cor) [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Global Photometric LI-210 [klux],Avg 500nm TWC Photometer [V],Avg 315nm POM-01 Photometer [nA],Avg 400nm POM-01 Photometer [uA],Avg 500nm POM-01 Photometer [uA],Avg 675nm POM-01 Photometer [uA],Avg 870nm POM-01 Photometer [uA],Avg 940nm POM-01 Photometer [uA],Avg 1020nm POM-01 Photometer [uA],Avg Global PSP [mV],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Airmass,Avg Tower Dry Bulb Temp [deg C],Avg Deck Dry Bulb Temp [deg C],Avg SE Dry Bulb Temp [deg C],Avg Data lab Dry Bulb Temp [deg C],Avg Tower Wet Bulb Temp [deg C],Avg Tower Dew Point Temp [deg C],Avg Tower Wind Chill Temp [deg C],Avg Deck Wind Chill Temp [deg C],Avg Tower RH [%],Avg Deck RH [%],Avg SE RH [%],Avg Data lab RH [%],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%],Avg Station Pressure [mBar],Avg Sea-Level Pressure (Est) [mBar],Avg Atmospheric Electric Field [kV/m],Avg 500nm TWC AOD,Avg 500nm Estimated AOD,Avg Broadband Turbidity,Avg Albedo (CM22),Avg Albedo (CM3),Avg Albedo (LI-200),Avg Albedo Quantum (LI-190),Avg SE-POA Angle [degrees]
7/1/2015,1,2.5324,0.0000,0.0011,-0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0219,116.7211,30.6832,-1.0000,20.4007,20.2898,19.7155,21.5255,14.4772,11.1037,20.4007,20.2898,55.1772,55.1703,56.7908,43.0565,-1.0000,-1.0000,819.7822,1021.0570,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0850
7/1/2015,2,4.6280,0.0000,0.0014,-0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0242,113.9060,21.5977,-1.0000,20.2025,20.0793,19.5970,21.4163,13.7762,9.9055,20.2025,20.0793,51.6217,51.5198,52.7787,43.4797,-1.0000,-1.0000,819.2624,1020.5380,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0786
7/1/2015,3,4.5013,0.0000,0.0013,-0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0243,108.4288,35.1641,-1.0000,20.0422,20.0528,19.4850,21.2288,13.2922,9.0829,20.0422,20.0528,49.2762,48.7005,50.0063,43.6992,-1.0000,-1.0000,818.8139,1020.0883,0.0357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0743
7/1/2015,4,4.7167,0.0000,0.0024,-0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0231,100.8536,47.0792,-1.0000,20.8902,20.9502,20.3470,21.3292,12.8787,7.6099,20.8902,20.9502,42.3137,41.6873,42.5780,42.4400,-1.0000,-1.0000,818.7855,1020.0597,0.0359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0756
7/1/2015,5,15.9336,13.8694,0.7915,0.0176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0542,91.6214,57.5053,16.4303,21.3253,21.2743,20.7990,21.3492,12.6926,6.8696,21.3253,21.2743,39.1450,38.9337,39.2247,41.9788,-1.0000,-1.0000,819.2428,1020.5175,0.0396,0.0434,0.0445,0.0424,0.0547,0.0697,0.0828,0.0188,-0.6433
7/1/2015,6,118.0414,195.9917,10.0504,0.4042,0.1462,2.9836,28.4961,64.2558,56.9158,6.1720,44.9604,0.7506,81.4664,66.8372,7.2498,21.6385,21.6668,21.0190,21.2943,13.1869,7.6948,21.6385,21.6668,40.6402,40.2233,43.0547,41.6642,54.3167,17.6167,819.8238,1021.0995,0.0262,0.3580,0.3265,0.3077,0.2289,0.2519,0.3407,0.0904,-10.6266
7/1/2015,7,217.9495,438.0659,20.0517,0.6964,1.1863,6.9162,43.7869,75.7626,59.0010,10.9697,45.1562,1.4401,70.6263,75.5662,3.0726,23.1493,23.2990,23.0220,21.2703,14.2000,8.7063,23.1493,23.2990,39.7152,38.9662,39.3143,42.3057,49.5000,24.2500,820.3857,1021.6615,0.0262,0.5318,0.5378,0.4967,0.2118,0.2153,0.3222,0.0890,-27.6192
7/1/2015,8,480.9686,673.8892,45.2380,2.2440,9.3796,29.3960,156.1474,248.3056,191.6128,52.9251,149.8746,3.2704,59.3126,84.2791,1.9759,25.3035,25.5020,25.3470,21.2883,15.1875,9.2351,25.3035,25.5020,36.2950,34.3340,33.4890,43.2112,10.6667,8.6833,820.7214,1021.9962,0.0399,0.1683,0.2052,0.1423,0.2103,0.2120,0.2994,0.0853,-42.7402
7/1/2015,9,652.9859,886.6412,61.7165,2.5145,16.5455,35.5327,172.7500,261.1344,197.4602,65.2446,154.4458,4.4965,47.8183,93.8111,1.4959,26.4898,26.2257,25.7722,21.4102,15.7556,9.6001,26.4898,26.2257,34.5742,33.5665,33.3917,44.2793,9.0500,6.8333,820.8427,1022.1180,0.0395,0.1847,0.2307,0.1475,0.1940,0.1952,0.2641,0.0790,-42.7727
7/1/2015,10,825.2706,1061.6918,78.0455,2.8416,24.1557,42.4201,197.1067,291.2135,218.7123,80.5881,171.3048,5.7571,36.4898,105.6985,1.2469,27.1288,26.8578,26.0793,21.6108,15.9822,9.6520,27.1288,26.8578,33.4158,32.4565,34.5428,45.5420,6.1167,5.1667,820.8257,1022.1002,0.0500,0.1468,0.2023,0.1027,0.1805,0.1823,0.2384,0.0752,-33.7446
