DATE (MM/DD/YYYY),HOUR-MST,Avg Global CMP22 (vent/cor) [W/m^2],Avg Global CMP22-1 (cor) [W/m^2],Avg Global CMP11 (cor) [W/m^2],Avg Global MS-802 (cor) [W/m^2],Avg Global SPP (vent/cor) [W/m^2],Avg Global PSP (vent/cor) [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Global CUV4 [W/m^2],Avg 500nm TWC Photometer [V],Avg 315nm POM-01 Photometer [nA],Avg 400nm POM-01 Photometer [uA],Avg 500nm POM-01 Photometer [uA],Avg 675nm POM-01 Photometer [uA],Avg 870nm POM-01 Photometer [uA],Avg 940nm POM-01 Photometer [uA],Avg 1020nm POM-01 Photometer [uA],Avg Global CMP22-1 [mV],Avg Global CMP11 [mV],Avg Global MS-802 [mV],Avg Global SPP [mV],Avg Global PSP [mV],Avg 500nm TWC AOD
7/2/2015,1,-0.6996,-0.3916,-0.3039,-1.3107,0.3573,4.5927,0.0000,0.0004,-0.0001,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-0.0099,-0.0179,-0.0225,-0.0228,-0.0236,0.0000
7/2/2015,2,-0.8431,-0.3259,-0.3428,-1.2810,0.4609,5.0635,0.0000,0.0004,-0.0001,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-0.0098,-0.0192,-0.0231,-0.0231,-0.0228,0.0000
7/2/2015,3,-0.6216,-0.4292,-0.5707,-0.2635,0.1256,4.2920,0.0000,0.0003,-0.0001,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-0.0108,-0.0216,-0.0163,-0.0254,-0.0271,0.0000
7/2/2015,4,-0.5624,-0.3762,-0.5366,0.0839,-0.0637,3.5075,0.0000,0.0005,-0.0001,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-0.0096,-0.0196,-0.0124,-0.0243,-0.0266,0.0000
7/2/2015,5,-0.0819,0.2435,0.2043,0.9167,-0.5962,0.3697,13.2519,0.0506,-0.0001,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-0.0004,-0.0043,0.0010,-0.0153,-0.0194,0.2072
7/2/2015,6,2.8208,3.2928,3.2725,3.5459,1.7164,1.3366,194.2143,0.3176,-0.0001,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.0290,0.0283,0.0239,0.0118,0.0034,2.2144
7/2/2015,7,15.0157,15.8247,15.8115,15.9737,14.3809,14.3632,436.3835,1.2156,-0.0000,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.1410,0.1406,0.1107,0.1187,0.0941,4.9305
7/2/2015,8,62.1722,63.8984,64.6658,63.2547,61.8736,62.4465,672.3671,4.5076,0.0000,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.5703,0.5778,0.4405,0.5195,0.4300,6.8916
7/2/2015,9,492.7205,491.1286,499.1455,491.7030,468.5042,461.5438,885.3193,27.8498,1.0356,14.5359,29.0594,141.3860,218.7806,168.3406,57.1731,132.5931,4.3809,4.4534,3.4187,3.9345,3.2060,2.6362
7/2/2015,10,828.6221,822.6387,829.6298,821.7199,825.0262,818.8610,1060.5949,46.1057,2.6503,22.2872,39.3542,185.0186,277.4162,210.3140,77.8801,164.4793,7.3367,7.3988,5.7105,6.9281,5.7335,0.2023
7/2/2015,11,904.5441,895.4968,901.3269,897.5791,902.3057,895.3867,1186.2037,52.0538,2.4055,22.8067,35.8969,164.8047,244.1089,183.5789,72.5629,143.6299,7.9857,8.0363,6.2361,7.5765,6.2900,0.4668
7/2/2015,12,666.8949,661.1470,664.7650,664.4779,664.7075,659.8903,1253.5644,40.7063,1.1318,11.8277,16.9990,76.9253,113.6351,85.7035,35.2284,68.2763,5.8956,5.9264,4.6161,5.5772,4.6396,3.9815
7/2/2015,13,720.0560,713.5539,716.8446,717.5091,716.8970,712.1410,1258.0749,43.1552,1.0177,10.2309,15.2006,69.5106,102.7304,76.7649,31.2433,58.7740,6.3631,6.3910,4.9848,6.0166,5.0119,3.6750
7/2/2015,14,800.4714,792.6833,797.7388,797.6525,797.5171,791.8138,1199.4214,45.0835,1.3979,15.5056,23.7916,108.5951,160.3095,120.0721,48.2343,94.0359,7.0693,7.1136,5.5427,6.6957,5.5639,2.5252
